丢三落四|形容做事马虎粗心，不是丢了这个，就是忘了那个。
小惩大诫|惩：惩罚；诫：警告，劝告。有小过失就惩戒，使受到教训而不致犯大错误。
凤鸣麟出|凤凰鸣唱，麒麟出现。比喻贤人出现。
俯拾皆是|只要低下头来捡取，到处都是。形容多而易得。
参差不齐|参差：长短、高低不齐。形容水平不一或很不整齐。
辞不达意|辞：言辞；意：意思。指词句不能确切地表达出意思和感情。
陈力就列|陈力：贡献才力；就：担任；列：官职、职位。能贡献才力，担任相应的官职。
隳胆抽肠|犹言披肝沥胆。表示真心诚意。
拉闲散闷|说闲话，闲聊解闷。
风景不殊|殊：不同。用以悲叹国土破碎或沦亡。
语言无味|指说的话枯燥无味或庸俗无聊。
掩目捕雀|遮着眼睛捉麻雀。比喻自己骗自己。
假誉驰声|指没有真才实学，靠互相吹捧扬名。
五步成诗|唐史青能五步成诗。后用以比喻才思敏捷。
鹰视狼顾|形容目光锐利，为人狠戾。
交梨火枣|道教经书中所说的“仙果”。
卖狗肉|比喻以好的名义做招牌，实际上兜售低劣的货色。
千锤打锣，一锤定音|比喻在众说纷纭的情况下发表决定性的意见。
楚馆秦楼|楚馆：楚灵王筑章华宫，选美人入宫；秦楼：秦穆公女弄玉善吹箫，穆公建楼给她居住。指歌舞妓院场所。
骥伏盐车|骥：千里马。指才华遭到抑制，处境困厄。
金城千里|指辽阔的国土坚城环绕，险固可靠。
间见层出|先后一再出现。
南风不竞|南风：南方的音乐；不竞：指乐音微弱。原指楚军战不能胜。后比喻竞赛的对手力量不强。
朝乾夕惕|乾：乾乾，即自强不息；惕：小心谨慎。形容一天到晚勤奋谨慎，没有一点疏忽懈怠。
眉清目秀|形容人容貌清秀不俗气。
涕泪交垂|鼻涕眼泪同时流下，形容极度悲哀。
鬼咤狼嚎|怪声怪气地呼喊嚎叫。
清廉正直|清白廉洁，为人正直不阿。
软弱无力|形容身体衰弱无气力。也可比喻处事不得力，不中用。
有嘴没舌|形容不善言辞。
黄泉之下|黄泉：指地下之泉，人死埋于地下。指人死后埋葬的地方。
大醇小疵|醇：纯正；疵：毛病。大体纯正，而略有缺点。
提纲挈领|纲：鱼网的总绳；挈：提起。抓住网的总绳，提住衣的领子。比喻抓住要领，简明扼要。
普天匝地|满天遍地，普天下。
刚愎自用|愎：任性；刚愎：强硬回执；自用：自以为是。十分固执自信，不考虑别人的意见。
百口莫辩|莫：不能；辩：辩白。即使有一百张嘴也辩白不清。形容不管怎样辩白也说不清楚。
云净天空|比喻事情办得干净利落，不留痕迹。
高天厚地|①比喻长久。②比喻深重。
琵琶旧语|表示对外屈辱求和之意。
乘间伺隙|指趁机钻空子。
过时黄花|黄花：菊花。重阳节后的菊花。比喻过了时的或失去意义的事物。
研精殚思|专心研究，尽力思考。同“研精竭虑”。
弃智遗身|指不与人斗智争利，忘记自身的存在。
革面悛心|比喻彻底改过，重新做人。同“革面洗心”。
道貌凛然|犹道貌岸然。指神态严肃，一本正经的样子。
凡胎浊骨|指人间普通的，平庸的人。
羹藜含糗|藜：野菜。泛指饮食粗劣。
凤愁鸾怨|比喻夫妻间因思念而生的愁怨。
望尘拜伏|形容卑躬屈膝的神态。同“望尘而拜”。
采椽不斫|采：柞木。比喻生活简朴。
出人望外|犹出人意表。超出人们的意料。
逸尘断鞅|指马奔跑时扬起尘土，挣断马鞅。形容马跑得很快。
足踏实地|犹言脚踏实地。
癣疥之疾|癣疥：两种皮肤病。比喻无关紧要的小问题和小毛病。
书声琅琅|形容读书声音响亮。
无所不容|没有什么不能容纳。极言其宽广。
文经武纬|经、纬：编织物的纵线与横线。指从文武两方面治理国家。
见财起意|见人钱财，动起歹念。
剩菜残羹|吃剩的食物。比喻弃余无用之物。
七湾八扭|多处弯曲，不断转变方向。也形容做事不直截了当。同“七湾八拐”。
流血漂卤|卤：通“橹”，大盾牌。血流得能将橹浮起来。形容死伤极多。亦作“流血漂忤”。
抱恨黄泉|黄泉：人死埋葬的地下，指阴间。心怀遗憾离开人世，死有遗恨。
忍俊不住|忍不住笑。
褐衣不完|褐：粗布衣服。连粗布衣服也穿不周全。形容生活困苦。
眼笑眉飞|形容极度高兴。
不足齿数|足：值得。表示数不上，不值得一提。
适可而止|适可：恰好可以。到适当的程度就停下来，不要过头。
披肝露胆|指竭诚相告或竭尽忠诚。同“披露肝胆”。
山高水险|比喻前进路上的种种艰难险阻。
饮泣吞声|眼泪只能往肚里流，不敢哭出声来。形容受压迫时，忍受痛苦，不敢公开表露。
骨化形销|指死亡。
市道之交|指买卖双方之间的关系。比喻人与人之间以利害关系为转移的交情。
踞炉炭上|踞：蹲、坐。蹲在炉子的炭火之上。形容处境险恶，不堪忍受。
菽水承欢|菽水：豆和水，指普通饮食；承欢：侍奉父母使其欢喜。指奉养父母，使父母欢乐。
大喊大叫|大声叫嚷，形容大肆宣传，大造舆论。
阿世盗名|阿世：曲意博取世人的欢心。用博取世人的欢心的方法来窃取名誉。
虚废词说|空费精神白说话。指说话不起作用。
东壁余光|东邻墙壁上透过来的光。表示对他人有好处而对自己并无损害的照顾或好处。
呼朋唤友|指招引意气相投的人。
解铃还需系铃人|比喻谁惹出来的麻烦，还得由谁去解决。
事不过三|指同样的事不宜连作三次。
言听计行|形容对某人十分信任。同“言听计从”。
咫尺之功|咫尺：比喻微小。微小的功劳。
龙骧虎视|象龙马高昂着头，象老虎注视着猎物。形容人的气慨威武。也比喻雄才大略。
金鸡消息|金鸡：古时大赦时，所举行的一种仪式，即竖长杆，顶立金鸡，然后集中罪犯，击鼓，宣读赦令。指皇帝下赦令招安的消息。
敢怒敢言|敢于愤怒，又敢于说出来。
龟鹤遐寿|遐：长久。祝人长寿的颂辞。
拨乱为治|犹拨乱反治。指消除混乱局面，恢复正常秩序。
莫名其妙|说不出其中的奥妙。指事情很奇怪，说不出道理来。
悠悠荡荡|形容摇摇晃晃，飘浮不定。现多形容不勤奋。
鞭辟近里|鞭辟：鞭策，激励；里：最里层。古代洛阳方言。意指深入剖析，使靠近最里层。形容探求透彻，深入精微。宋儒常用语。
活天冤枉|形容冤枉之极。
乘舆播越|指天子流亡在外。
札手舞脚|犹言动手动脚。形容不规矩、不稳重。
青蝇吊客|死后只有青蝇来吊。比喻生前没有知己朋友的人。
隐忍不发|隐忍：勉强忍耐，把事情藏在心里。把事情藏在心里不说。
调和鼎鼐|鼎：古代烹调食物的器具，三足两耳；鼐：大鼎。于鼎鼐中调味。比喻处理国家大事。多指宰相职责。
嚼穿龈血|形容十分仇恨。
一纸空文|只是写在纸上没有兑现或不能兑现的东西。
金人之缄|比喻因有顾虑而闭口不说话。
裸裎袒裼|袒裼：露臂；祼裎：露体。指脱衣露体，没有礼貌。
咸与维新|指一切除旧更新。
之死靡二|至死不变。形容忠贞不二。同“之死靡它”。
白兔赤乌|月亮和太阳的代称。多借指时间。
销声敛迹|犹言销声匿迹。指隐藏起来，不公开露面。
咫角骖驹|未壮的牛马，比喻人年少。
室如悬罄|指室中空无所有。比喻一贫如洗。同“室如县罄”。
百无一堪|指百人中无一人能胜任。
患难之交|交：交情，朋友。在一起经历过艰难困苦的朋友。
鹰嘴鹞目|形容外貌奸诈凶狠。
无如之何|没有任何办法。
不可造次|造次：急遽，匆忙。不能匆匆忙忙地进行。意为要慎重。
官仓老鼠|官仓：放公粮的地方。比喻有所依恃的恶人。
七病八倒|形容体弱多病。
北道主人|北道上接待过客的主人。与“东道主人”同义。
一推两搡|形容一再推托。
思贤如渴|如渴：如口渴思饮那般，形容迫切。比喻迫切的想延致有才德的人。
济窍飘风|指大风止则所有的窍孔都空寂无声。后比喻毫无影响与作用的事物。
苌弘化碧|苌弘：周敬王的夫人，后蒙冤为人所杀，传说血化为碧玉。
鸿爪春泥|比喻往事留下的痕迹。同“鸿爪雪泥”。
抑塞磊落|形容心地抑郁，有志未伸，为人却胸怀坦白。
数一数二|不算第一也算第二。形容突出。
聊以解嘲|解：消除；嘲：嘲笑。姑且用来解脱被人嘲笑的事情。
跑了和尚跑不了寺|指纵然一时躲掉，但由于其他无法摆脱的牵累，最后还是无法脱身。同“跑了和尚跑不了庙”。
炊沙作糜|煮沙子作饭。比喻徒劳无功，白费气力。
添枝加叶|在树干上添上些枝叶。比喻叙述事情或转述别人的话，为了夸大，添上原来没有的内容。
孤注一掷|把所有的钱一次押上去，决一输赢。比喻在危急时用尽所有力量作最后一次冒险。
卓绝千古|卓绝：程度达到极点，超过一切。超过以往的一切人。
冲锋陷坚|犹言冲锋陷阵。
向壁虚造|向壁：对着墙壁；虚造：虚构。。即对着墙壁，凭空造出来的。比喻无事实根据，凭空捏造。
都俞吁咈|皆为古汉语叹词。吁，不同意；咈，反对；都，赞美；俞，同意。本以表示尧、舜、禹等讨论政事时发言的语气，后用以赞美君臣论政问答，融洽雍睦。
其道无由|找不到门径；无法办到。同“其道亡繇”。
一夔已足|夔：古贤臣名，为舜时的典乐官。夔一人已足制乐。指只要是真正的人才，有一个就足够了。
危言逆耳|正直的规劝听起来不顺耳。
不堪入目|指形象丑恶，使人看不下去。
入主出奴|原意是崇信了一种学说，必然排斥另一种学说；把前者奉为主人，把后者当作奴仆。后比喻学术思想上的宗派主义。
先意承志|指孝子不等父母开口就能顺父母的心意去做。后指揣摸人意，谄媚逢迎。
抱恨终天|恨：悔恨；终天：终身。旧指因父母去世而一辈子感到悲痛。现指因做错某事而后悔一辈子。
国无宁日|宁：安宁。国家没有太平的时候。
尺二冤家|指众多的求书画者。尺二，指卷轴高度。
乌踆兔走|指日月运行。兔，传说中的月中玉兔。借指月亮。
谢家宝树|比喻能光耀门庭的子侄。
鲁阳回日|指力挽危局。同“鲁阳挥戈”。
斗绝一隅|孤悬边远之地；僻处边远之地。
滴水不羼|形容十分纯正。
另眼相待|用另一种眼光看待。指看待某个人不同一般。也指不被重视的人得到重视。
屁滚尿流|形容惊慌或欣喜到极点。
恶语中伤|中伤：攻击和谄害别人。用恶毒的话污蔑、陷害人。
日出而作，日入而息|太阳升起就起来劳动，太阳下山就休息。原指上古人民的生活方式，后亦泛指单纯简朴的生活。
亢极之悔|亢：至高的；悔：灾祸。意为居高位的人要戒骄，否则会失败而后悔。后也形容倨傲者不免招祸。
一枝之栖|栖：鸟停留在树上。泛指一个工作位置。
香火姻缘|香和灯火都用于供佛，因此佛教用来比喻彼此意志相投。
无衣之赋|以之为出师相援、同仇敌忾之典。
案牍之劳|案牍：公文。办理公文的劳累。
卑之无甚高论|表示只就浅易的说，没有什么过高难行的意见。
倒载干戈|倒：把锋刃向里倒插着；载：陈设，放置；干戈：古代的两种兵器，泛指武器。把武器倒着放起来，比喻没有战争，天下太平。
运用之妙，存乎一心|意思是摆好阵势以后出战，这是打仗的常规，但运用的巧妙灵活，全在于善于思考。指高超的指挥作战的艺术。
从长计较|犹言从长计议。
万户千门|指众多人家。也形容屋宇深广。
虎体熊腰|形容身材魁梧，体格健壮。
蹑蹻檐簦|穿着草鞋，背着斗笠。指远行、跋涉。
狗盗鸡啼|比喻具有微末技能。同“狗盗鸡鸣”。
家丑不可外扬|家里不光彩的事，不便向外宣扬。
借坡下驴|凭借有利的地势下驴。比喻利用有利条件行事。
交相辉映|各种光亮、色彩等互相映照。
专门利人|丝毫不为个人利益着想，一心一意做有利于他人的事情。
敛声匿迹|不声张，不露面。形容隐藏起来，不公开出现。
风雨飘摇|飘摇：飘荡。在风雨中飘荡不定。比喻局势动荡不安，很不稳定。
中馈犹虚|指没有妻子。
唐虞之治|唐虞：唐尧、虞舜，传说中的古代圣帝贤君。旧指上古政治清明，人民康乐的理想时代。
超前绝后|指超越前人，以后也无一可相比。
略胜一筹|筹：筹码，古代用以计数的工具，多用竹子制成。比较起来，稍微好一些。
委重投艰|委：委托、托付。指委以重任，授予艰难使命。
日饮亡何|每天饮酒，不过问其它的事情。
吹影镂尘|镂：雕刻。吹影子，刻尘土。比喻工艺精细到不见形迹。
朝歌夜弦|形容整天沉迷于歌舞，逸乐无度。
东奔西撞|形容无固定目标，到处乱闯。
忍俊不禁|忍俊：含笑；不禁：无法控制自己。指忍不住要发笑。
计穷力极|计谋、力量都用尽了。同“计穷力竭”。
贱敛贵发|低价卖进，高价卖出。同“贱敛贵出”。
群魔乱舞|成群的魔鬼乱跳乱蹦。比喻一批坏人在政治舞台上猖狂活动。
见可而进|见到形势有利就进军。后指有把握就行动。
就地取材|就：随。在本地找需要的材料。比喻不依靠外力，充分发挥本单位的潜力。
鸣金收军|古时作战用敲锣等方式发出信号撤军回营。
重金兼紫|指一门中有数人佩金印紫绶，极言荣显。秦汉列侯以上皆金印紫绶。
稀奇古怪|指很少见，很奇异，不同一般。
乐道忘饥|指醉心于圣道。
阳春白雪|原指战国时代楚国的一种较高级的歌曲。比喻高深的不通俗的文学艺术。
提名道姓|提、道：说。直呼他人姓名，对人不够尊敬。
不胫而走|胫：小腿；走：跑。没有腿却能跑。比喻事物无需推行，就已迅速地传播开去。
险遭不测|形容从极危险的境地中逃出了性命。
锋芒逼人|锋：刀锋；芒：枪头。比喻言词锋利，给人以威胁。
横枪跃马|指手持武器，纵马驰骋。指在沙场作战。犹横戈跃马。
别具只眼|具有独到的眼光和见解。比喻有独到的见解。
焕然一新|焕然：鲜明光亮的样子。改变旧面貌，出现崭新的气象。
目断魂销|目断：竭尽目力所见。指竭尽目力也看不见，因而内心十分悲痛。形容因离别而十分伤心。亦作“目断魂消”。
含情脉脉|饱含温情，默默地用眼神表达自己的感情。常用以形容少女面对意中人稍带娇羞但又无限关切的表情。
道高益安，势高益危|益：更加；势：权势。道德越高尚，为人处事好，就越安全；权势越大，更容易滥用权力，刚愎自用，就越危险。
下气怡声|下气：态度恭顺：怡声：声音和悦。形容声音柔和，态度恭顺。
零光片羽|比喻珍贵事物的一小部分。
相顾失色|顾：看；失色：因惊恐而变了脸色。你看我，我看你，吓得脸色都变了。
伸头探脑|不断伸着脑袋张望。形容迟疑观望，或心中有鬼。
避让贤路|避让：辞职的谦词；贤路：贤才仕进路。辞官退隐，让有才能的出来做事。
在家出家|指不出家当和尚，清心寡欲，在家修行。
膏粱子弟|膏粱：肥肉和细粮，指美味佳肴。富贵人家过惯享乐生活的子弟。
尾大不掉|掉：摇动。尾巴太大，掉转不灵。旧时比喻部下的势力很大，无法指挥调度。现比喻机构庞大，指挥不灵。
不知所以|以：原因。不明白为什么是这样。指不知道原因。
救难解危|帮助陷入困境的人解除危难。
痴人说梦|痴：傻。原指对痴人说梦话而痴人信以为真。比喻凭借荒唐的想象胡言乱语。
饱经世变|指经历了许多人世变故。
人中之龙|比喻人中豪杰。
前车之鉴|鉴：镜子，为教训。前面车子翻倒的教训。比喻先前的失败，可以做为以后的教训。
老有所终|年老者能有个合适的归宿。
织白守黑|意思是对是非黑白，虽然明白，还当保持暗昧，如无所见。这是道家的消极处世态度。
绳枢瓮牖|绳枢：用绳子系门，来代替转轴。形容住房条件十分简陋。多指贫穷人家。亦作“瓮牖绳枢”。
铁桶江山|比喻牢固的政权或地位。
莺巢燕垒|比喻妓院。
触目恸心|恸：极悲哀；大哭。看到眼前景物而引起内心悲伤。
神不知鬼不觉|指形迹隐秘，不为人知。
山光水色|水波泛出秀色，山上景物明净。形容山水景色秀丽。
一匡天下|匡：纠正；天下：原指周天子统治所及的地方，即整个中国。纠正混乱局势，使天下安定下来。
观者如堵|堵：墙壁。观看的人象一堵墙一样。形容观看人数众多。
后来者居上|后来的超过先前的。
盲风怪雨|指非常急骤凶猛的风雨。
白头之叹|指妇女被遗弃而作晚景凄凉之叹。
完好无缺|完：完整。完完整整，没有欠缺。
出人意外|出于人们的意料之外，都没想到的。
发蒙振落|蒙：遮盖，指物品上的罩物；振：摇动。把蒙在物体上的东西揭掉，把将要落的树叶摘下来。比喻事情很容易做到。
激浊扬清|激：冲去；浊：脏水；清：清水。冲去污水，让清水上来。比喻清除坏的，发扬好的。
称雨道晴|比喻说话说不到一块。
朱颜绿发|指青春年少。
鸾姿凤态|比喻神仙的仪态。
华屋秋墟|壮丽的建筑化为土丘。比喻兴亡盛衰的迅速。
黄卷青灯|黄卷：古代书籍用黄低缮写，因指书籍；青灯：油灯发青色的灯光，指油灯。灯光映照着书籍。形容深夜苦读，或修行学佛的孤寂生活。
愚公移山|比喻坚持不懈地改造自然和坚定不移地进行斗争。
赤膊上阵|光着膀子上阵。比喻亲身上场，不加掩饰地进行活动。
不可磨灭|磨灭：消失。永远消失不了。指事迹言论等将始终保留在人们的记忆中。
落魄不羁|落魄：穷困，不得意；羁：束缚。潦倒失意，行为放纵。也指豪迈不受拘束。
改名换姓|改换了原来的姓名。
闻风破胆|听到一点风声就吓破了胆。形容对某种力量的极度惶恐。
弹尽粮绝|作战中弹药用完了，粮食也断绝了。指无法继续作战的危险处境。
家破人亡|家庭破产，人口死亡。形容家遭不幸的惨相。
象煞有介事|指装模作样，活象真有那么一回事似的。
高城深池|池：护城河。城墙很高，护城河很深。形容防卫坚固。
拔本塞源|本：根本，根源。拔起树根，塞住水源。比喻防患除害要从根本上打主意。
风清弊绝|贪污、舞弊的事情没有了。形容坏事绝迹，社会风气良好。
不乏其人|乏：缺少；其：那，那些。那样的人并不少。
海立云垂|形容文辞气魄极大。
诲人不惓|教导人特别耐心，从不厌倦。同“诲人不倦”。
燃眉之急|燃：烧。火烧眉毛那样紧急。形容事情非常急迫。
行寡悔|指说话做事很少犯错误。
不顾前后|比喻毫无顾忌。
瓜田之嫌|犹瓜田李下。比喻容易引起嫌疑的场合。
楼船箫鼓|乘坐楼船，吹箫击鼓。楼船：有楼饰的游船。
鞍前马后|马前马后。指追随左右。
风高放火，月黑杀人|风高：风非常大。月黑：指黑夜。趁风大放火，趁黑夜杀人。形容盗匪趁机作案的行径。
凤皇于蜚|比喻夫妻和好恩爱。常用以祝人婚姻美满。同“凤凰于飞”。
肝胆欲碎|欲：将要。肝和胆将要破碎了。形容极度悲痛或非常生气。
椎天抢地|形容极度悲痛的样子。
巧立名目|变着法定出一些名目来达到某种不正当的目的。
千条万端|犹言千言万语。形容说得话很多。
大家闺秀|旧指世家望族中有才德的女子。也泛指有钱有势人家的女儿。
彰明较着|指事情或道理极其明显。
一年之计在于春|要在一年（或一天）开始时多做并做好工作，为全年（或全天）的工作打好基础。
闻风响应|听到风声就起而赞同支持。
三年五载|三、五：表示大概数量；载：年。指多年。
崭露头脚|指初显露优异的才能。
罚一劝百|处罚一个人以惩戒众人。
冲州过府|指跑码头，闯江湖。也形容经历丰富，见过世面。
超度众生|佛教用语。用念经来使死人脱离苦海。也泛指做善事。
我不犯人|犯：侵犯。人家不侵犯我，我也不侵犯人家。
轶群绝类|超过众人和同辈。
和璧隋珠|和壁：和氏璧，隋珠：古传说中的夜明珠。比喻极珍贵的东西。
畏影避迹|比喻庸人自扰，不明事理。
浇淳散朴|使淳朴的社会风气变得浮薄。
臭名昭著|坏名声人人都知道。
救世济民|挽救天下，拯济百姓。
口中雌黄|雌黄：即鸡冠石，过去写字用黄纸，写错了就用雌黄涂沫后重写。随口更改说得不恰当的话。比喻言论前后矛盾，没有一定见解。
怵目惊心|看见某种严重情况，心里感到震惊。
怀恨在心|把怨恨藏在心里。形容对人记下仇恨，以伺机报复。
云泥之差|云在天，泥在地。指相差像天上的云和地上的泥。比喻高低差别远殊。
殊涂同致|犹殊途同归。比喻采取不同的方法而得到相同的结果。
掎挈伺诈|抓住人家过错，等待机会来陷害。
矜己自饰|矜：夸耀；自饰：自己颂扬。夸耀称赞自己。
穷源竟委|穷、竟：彻底推求；源：水流的源头；委：水的下流。比喻彻底搞清楚事情的始末。
发人深省|发：启发；省：醒悟。启发人深刻思考，有所醒悟。
逾淮之橘|比喻易地而变质的事物。
打落水狗|比喻继续打击已经失败的坏人。
景星凤皇|传说太平之世才能见到景星和凤凰。后用以比喻美好的事物或杰出的人才。
疾言厉色|疾：急速。说话急躁，脸色严厉。形容对人发怒说话时的神情。
指鹿作马|比喻有意颠倒黑白，混淆是非。同“指鹿为马”。
亿辛万苦|极言辛苦之甚。
根结盘固|比喻关系错综牢固。
肩劳任怨|犹任劳任怨。不怕吃苦，也不怕招怨。
道山学海|道、学：学问。学识比天高比海深。形容学识渊博。
江流日下|江河的水一天天地向下流。比喻情况一天天地坏下去。同“江河日下”。
明如指掌|形容对情况非常清楚，好象指着自己的手掌给人看。
蔼然仁者|对人和善的有仁德的人。
欲擒故纵|擒：捉；纵：放。故意先放开他，使他放松戒备，充分暴露，然后再把他捉住。
好问决疑|喜欢向别人请教，以解决自己的疑问。
天低吴楚，眼空无物|吴楚：泛指长江中下游。原指登上南京城，一眼望去，越远越觉得天下垂，除见苍天之外，空无所有。现也比喻一无所见。
昼伏夜动|白天埋伏，夜晚活动。
一人之下|多指地位崇高权势显赫的大臣。
齿颊生香|嘴边觉有香气生出。形容谈及之事使人产生美感。
重气轻命|指看重义行而轻视生命。
添油炽薪|犹言火上加油。比喻人为地激化矛盾，使事态严重。
落荒而逃|形容吃了败仗慌张逃跑。
荒无人烟|人烟：指住户、居民，因有炊烟的地方就有人居住。形容地方偏僻荒凉，见不到人家。
道不同不相为谋|走着不同道路的人，就不能在一起谋划。比喻意见或志趣不同的人就无法共事。
丽藻春葩|比喻美妙的言谈。
流风余俗|指遗留的风气、习俗。
讹言惑众|讹言：诈伪的话。用谣言欺骗迷惑群众。
只此一家|原是一些店铺招揽生意的用语，向顾客表明他没分店，只能在他这一家店里买到某种商品。泛指某种事物只有他那...
念兹在兹|念：思念；兹：此，这个。泛指念念不忘某一件事情。
缠绵蕴藉|蕴藉：含蓄而不直露。形容风格情调委婉细腻，含蓄而有节制。
肆言詈辱|肆：任意妄为，放肆。詈：骂。辱：侮辱。毫无畏惧地侮辱谩骂。
披沙简金|犹言排沙简金。比喻从大量事物中挑选精华。
茫然不解|茫然：无所知的样子。一无所知，不理解。
逢山开道|形容不畏艰险，在前开路。常与“遇水叠桥”连用。
玉汝于成|汝：你。玉汝：像爱惜玉一样爱护、帮助你。爱你如玉，帮助你，使你成功。多用于艰难困苦条件下。
独坐愁城|愁：忧愁。独自坐在忧愁的城中。比喻独自为忧愁所包围。
盲翁扪籥|比喻只凭片面了解或局部经验就对事物妄加判断。
猿穴坏山|比喻小事不注意，就会造成大灾祸。
存亡绝续|绝：完结；续：延续。事物处在生存或灭亡、断绝或延续的关键时刻。形容局势万分危急。
权宜之计|权宜：暂时适宜，变通；计：计划，办法。指为了应付某种情况而暂时采取的办法。
贱入贵出|低价买进，高价卖出。
漫山塞野|山上和田野里到处都是。形容很多。同“漫山遍野”。
遣将征兵|泛指调动安排人力。同“遣兵调将”。
人微权轻|微：低下。指人的资历浅，威望低，权力不能使大家信服。
弄竹弹丝|指吹奏管弦乐器。
沐仁浴义|指受仁义的熏陶。
飞阁流丹|飞阁：架空建造的阁道；流丹：彩饰的漆鲜艳欲流。凌空建造的阁道涂有鲜艳欲流的丹漆。形容建筑物的精巧美丽。
唇揭齿寒|嘴唇没有了，牙齿就会感到寒冷。比喻利害密要相关。同“唇亡齿寒”。
磨砖成镜|把砖石磨成镜子。比喻事情不能成功。
丧身失节|身受污辱，失去节操。
甘棠之惠|甘棠：木名，即棠梨。指对官吏的爱戴。同“甘棠之爱”。
出幽升高|犹言出谷迁乔。比喻人的境遇好转或职位升迁。
小心翼翼|翼翼：严肃谨慎。本是严肃恭敬的意思。现形容谨慎小心，一点不敢疏忽。
虽死之日，犹生之年|犹：如同。指人虽死，精神不灭，楷模犹存。也指心无牵挂、憾事，虽死犹同活着。
干城之将|干城：盾牌和城墙，比喻捍卫者。指保卫国家的大将。
卧榻之旁|自己的床铺边，怎么能让别人呼呼睡大觉？比喻自己的势力范围或利益不容许别人侵占。
进身之阶|进身：上升；阶：台阶。使身体能够上升的阶梯。旧指借以提拔升迁的门路。
随声是非|别人说是，自己也说是；别人说不是，自己也说不是。指毫无主见，一味盲从。
奉公正己|奉行公事严格地约束自己。
不凉不酸|方言。形容态度冷漠。
依依不舍|依依：依恋的样子；舍：放弃。形容舍不得离开。
风行一世|指一个时期在社会上盛行。
薄物细故|薄：微小；物：事物；故：事故。指微小的事情。
通真达灵|与神仙交往。
桃李不言，下自成蹊|。原意是桃树不招引人，但因它有花和果实，人们在它下面走来走去，走成了一条小路。比喻人只要真诚、忠实，就能感动别人。
千棰打锣，一棰定声|比喻在众说纷纭的情况下发表决定性的意见。同“千锤打锣，一锤定音”。
枕戈待旦|戈：古代的一种兵器；旦：早晨。意思是立志杀敌，枕着武器睡觉等天亮。形容时刻准备作战，。
八面见光|形容人非常世故，各方面都能应付得很周到。
言芳行洁|指言行高洁。
饮谷栖丘|犹言栖丘饮谷。指隐逸山林。
食毛践土|毛：指地面所生之谷物；贱：踩。原意是吃的食物和居住的土地都是国君所有。封建官吏用以表示感戴君主的恩德。
持禄养交|持禄：保持禄位；养交：交结权贵。指结交权贵以保持自己的职位。
高步阔视|形容气慨不凡或态度傲慢。同“高视阔步”。
居利思义|指临财不苟得。
朝前夕惕|形容一天到晚勤奋谨慎，没有一点疏忽懈怠。
覆舟之戒|推翻船的教训。比喻失败的教训。
宦海浮沉|指官场生涯曲折复杂，变化不定。
临危不挠|挠：屈，折。遇到危险时并不屈服。形容英勇坚贞。
摇席破坐|指在饮宴中中途离席。同“摇席破座”。
足足有余|形容充足、宽裕，支用不完。
不能登大雅之堂|形容不够文雅。
白丁俗客|白丁：没有功名的平民。泛指粗俗之辈。
出浅入深|犹言深入浅出。
寒风侵肌|形容天气寒冷。
身无完肤|①指被打得遍体鳞伤。②比喻遭到攻击或破坏后难以自存的局面。
调唇弄舌|①耍嘴皮子，纵谈。②搬弄是非。亦作“调唇弄舌”。
返老还童|由衰老恢复青春。形容老年人充满了活力。
不及之法|指不适用的法规。
毁方瓦合|毁去棱角，与瓦砾相合。比喻屈己从众，君子为道不远离于人。后指毁弃自己的原则，迎合世俗。
七捞八攘|到处捞摸扰攘。形容思绪纷乱不宁。
是可忍|是：这个；孰：那个。如果这个都可以容忍，还有什么不可容忍的呢？意思是绝不能容忍。
区区之众|区区：形容少。很少的几个人。
正色危言|态度严肃，语言正直，能使人望而生畏。同“正色直言”。
计深虑远|计：计谋；虑：考虑。计谋想得很深远。
鹘入鸦群|鹘：同“隼”，一种凶猛的大鸟。比喻骁勇无敌。
面目一新|样子完全改变，有了崭新的面貌。
杳无踪迹|一点踪迹都没有。谓不知去向。
汰劣留良|指淘汰掉低劣的而留下精良的。
深猷远计|指计划得很周密，考虑得很长远。同“深谋远虑”。
不磷不缁|磨不薄，染不黑。比喻坚贞高洁的品质，不因外界影响而有所改变。
百折不挠|折：挫折；挠：弯曲。比喻意志坚强，无论受到多少次挫折，毫不动摇退缩。
出其不意，攻其无备|原指出兵攻击对方不防备的地方。后亦指行动出乎人的意料。
洽博多闻|指知识和见闻广博。
槌胸蹋地|捶胸顿足。表示极度悲痛或悔恨。
杯水车薪|用一杯水去救一车着了火的柴草。比喻力量太小，解决不了问题。
卓立鸡群|象鹤站在鸡群中一样。比喻一个人的仪表或才能在周围一群人里显得很突出。
肚里泪下|眼泪往肚里流。形容有苦说不出。
大势已去|大势：事情发展的趋势。有利的形势已经丧失，前途已经没有希望。
躬行节俭|躬行：亲自践行。亲自做到节约勤俭。
鼠腹鸡肠|比喻气量狭小，只考虑小事，不顾大体。
语焉不详|指虽然提到了，但说得不详细。
唯命是从|是命令就服从，不敢有半点违抗。
穷极无聊|穷极：极端；无聊：无所依托。原指光景穷困，精神无所寄托。现也形容无事可做，非常无聊。
忿世嫉俗|有正义感的人对黑暗的现实社会和不合理的习俗表示愤恨、憎恶。同“愤世嫉俗”。
换骨夺胎|比喻诗文活用古人之意，推陈出新。
靡所底止|指没有止境。
不容置疑|不允许有什么怀疑。表示论证严密，无可怀疑。
似笑非笑|像笑又不笑。
